sound.files,start,end,species,bottom.freq,top.freq,relative.amp,dist,distance_m,relative_dir,TA,vol
4_50N_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.040572556,50N,50,N,T,100
4_50N_YBC_75.mp3,0,20,YBC,1.652873563,1.752873563,0.021494323,50N,50,N,T,75
5_50S_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.048952669,50S,50,S,T,100
5_50S_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.008217246,50S,50,S,T,75
5_50S_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.030438832,50S,50,S,T,100
5_50S_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.01519427,50S,50,S,T,75
5_50S_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.02100359,50S,50,S,T,50
5_50S_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.047306206,50S,50,S,T,75
5_50S_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.011627204,50S,50,S,T,100
5_50S_EWP_75.mp3,0,20,EWP,4.155357143,4.255357143,0.006773167,50S,50,S,T,75
5_50S_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.023691965,50S,50,S,T,100
5_50S_YBC_75.mp3,0,20,YBC,1.652873563,1.752873563,0.008943018,50S,50,S,T,75
6_25N_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.21635276,25N,25,N,T,100
6_25N_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.057700362,25N,25,N,T,75
6_25N_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.111373667,25N,25,N,T,100
6_25N_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.011291182,25N,25,N,T,75
6_25N_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.086022826,25N,25,N,T,50
6_25N_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.222141451,25N,25,N,T,75
6_25N_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.14828959,25N,25,N,T,100
6_25N_EWP_75.mp3,0,20,EWP,4.155357143,4.255357143,0.028346878,25N,25,N,T,75
6_25N_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.065777587,25N,25,N,T,100
7_75S_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.012252653,75S,75,S,T,100
7_75S_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.009205013,75S,75,S,T,75
7_75S_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.009692847,75S,75,S,T,100
7_75S_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.005620789,75S,75,S,T,75
7_75S_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.007185875,75S,75,S,T,50
7_75S_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.014631812,75S,75,S,T,75
7_75S_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.006932582,75S,75,S,T,100
7_75S_EWP_75.mp3,0,20,EWP,4.155357143,4.255357143,0.007677938,75S,75,S,T,75
7_75S_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.009679357,75S,75,S,T,100
7_75S_YBC_75.mp3,0,20,YBC,1.652873563,1.752873563,0.009374613,75S,75,S,T,75
8_100S_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.008347549,100S,100,S,T,100
8_100S_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.004609526,100S,100,S,T,75
8_100S_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.007348023,100S,100,S,T,100
8_100S_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.007053317,100S,100,S,T,50
8_100S_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.014803103,100S,100,S,T,75
8_100S_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.00567044,100S,100,S,T,100
8_100S_EWP_75.mp3,0,20,EWP,4.155357143,4.255357143,0.004206489,100S,100,S,T,75
8_100S_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.011173221,100S,100,S,T,100
9_25W_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.368624747,25W,25,W,T,100
9_25W_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.221861847,25W,25,W,T,75
9_25W_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.051403857,25W,25,W,T,100
9_25W_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.033523119,25W,25,W,T,75
9_25W_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.055572983,25W,25,W,T,50
9_25W_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.143033617,25W,25,W,T,75
9_25W_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.130803807,25W,25,W,T,100
